,BA_per,A_HR_per,HBP_per,HRH_per,ISO_per,SLG_per,OBP_per,XBH_diff,TB_per,TOB_per,OPS_per,IP_per,FIP_per,BB9_per,K9_per,GBF_per,ERA_per,DICE_per,HR9_per,WHIP_per,KBB_per,home_team_wins
0,-48.847,-111.11,0.0,68.182,18.787,-15.038,0.0,0.0,-21.419,20.01,0.0,28.581,-1789.9,-880.0,-100.0,-1.333,-39.999,0.0,-180.0,-530.008,70.0,1
1,12.643,0.0,0.0,0.0,35.255,17.873,0.0,0.0,15.395,25.01,0.0,0.01,0.0,0.0,-20.0,-0.667,0.0,0.0,0.0,0.0,0.0,0
2,0.0,-50.0,0.0,33.333,23.065,10.345,0.0,0.0,10.355,28.581,0.0,25.01,2633.458,-266.667,-13.333,-2.0,-39.999,0.0,-100.0,-211.113,64.706,0
3,65.697,0.0,0.0,0.0,59.928,64.706,0.0,0.0,70.598,52.951,0.0,16.677,0.0,10.0,-140.0,-1.667,0.0,0.0,0.0,0.0,37.5,1
4,-88.179,0.0,0.0,0.0,-56.802,-76.471,0.0,0.0,-87.49,-114.276,0.0,0.01,0.0,60.0,-266.667,0.167,0.0,0.0,0.0,0.0,18.182,1
5,49.661,0.0,0.0,0.0,0.0,63.095,0.0,0.0,66.677,46.677,0.0,33.343,0.0,-100.0,-12.5,-1.625,0.0,0.0,0.0,0.0,133.333,1
6,1.01,0.0,0.0,0.0,-154.114,-21.212,0.0,0.0,-42.847,-8.323,0.0,0.01,0.0,-20.0,50.0,0.0,0.0,0.0,0.0,0.0,120.0,0
7,-27.834,0.0,0.0,0.0,68.569,22.039,0.0,0.0,17.251,-57.885,0.0,-19.99,0.0,69.697,-18.056,0.451,0.0,0.0,0.0,0.0,23.529,0
8,-55.077,35.526,0.0,0.0,-66.994,-60.272,0.0,0.0,-3.323,14.825,0.0,46.164,-75.938,-147.619,18.75,0.455,-71.428,0.0,-85.714,-85.715,114.286,1
9,23.956,0.0,0.0,0.0,0.0,40.86,0.0,0.0,44.454,33.343,0.0,9.101,0.0,-98.0,6.923,-0.444,-49.997,0.0,0.0,0.0,81.818,0
10,-38.869,0.0,0.0,0.0,-315.721,-78.571,0.0,0.0,-114.276,-33.323,0.0,14.296,0.0,-250.0,22.222,0.886,-16.666,0.0,0.0,0.0,150.0,1
11,5.553,0.0,0.0,0.0,-199.548,-23.81,0.0,0.0,-23.8,-3.694,0.0,8.343,0.0,1.818,20.0,0.567,0.0,0.0,0.0,0.0,81.818,1
12,32.02,0.0,0.0,0.0,84.855,54.688,0.0,0.0,50.01,0.01,0.0,0.01,0.0,66.667,40.0,0.0,0.0,0.0,0.0,0.0,33.333,0
13,7.243,-115.624,0.0,50.0,33.0,20.887,0.0,0.0,-70.578,-119.99,0.0,-149.99,31.764,60.0,-10.0,0.608,52.727,0.0,40.0,44.001,36.364,0
14,-14.28,0.0,0.0,0.0,-156.884,-40.26,0.0,0.0,-63.626,-28.561,0.0,-8.323,0.0,-38.462,35.385,-1.188,0.0,0.0,0.0,0.0,42.857,0
15,-46.42,0.0,0.0,0.0,-295.028,-146.061,0.0,0.0,-179.99,12.51,0.0,0.01,0.0,-100.0,-11.111,-0.143,0.0,0.0,0.0,0.0,40.0,1
16,-22.795,-114.285,0.0,62.0,24.152,-1.333,0.0,0.0,-8.561,6.26,0.0,5.566,452.946,-154.118,-22.824,-1.0,-39.999,0.0,-111.765,-142.018,41.379,0
17,2.777,25.714,0.0,-38.462,-57.026,-21.154,0.0,0.0,-34.99,-21.419,0.0,16.677,42.069,40.0,1.818,0.7,-20.0,0.0,20.0,31.429,22.222,1
18,14.699,0.0,0.0,0.0,43.096,24.183,0.0,0.0,11.121,-33.323,0.0,-24.99,0.0,60.0,73.333,-0.071,20.0,0.0,0.0,0.0,100.0,1
19,53.746,0.0,0.0,0.0,69.548,57.46,0.0,0.0,60.01,31.044,0.0,16.677,0.0,28.0,-86.667,-0.889,-19.997,0.0,0.0,0.0,42.857,0
20,4.76,-109.999,0.0,50.0,52.36,28.571,0.0,0.0,25.01,12.51,0.0,0.01,-999.95,-100.0,-10.0,0.0,0.0,0.0,-100.0,-100.001,54.545,0
21,-44.212,0.0,-99.99,0.0,22.708,-14.478,0.0,0.0,-11.101,0.01,0.0,14.296,0.0,-366.667,-29.63,-0.167,-16.666,0.0,0.0,0.0,40.0,0
22,-20.217,0.0,0.0,0.0,-155.602,-41.108,0.0,0.0,-65.375,-33.323,0.0,-11.101,0.0,-50.0,36.471,-0.414,0.0,0.0,0.0,0.0,41.667,0
23,-3.254,21.311,0.0,-23.077,-29.955,-16.033,0.0,0.0,-21.729,-11.101,0.0,0.01,43.59,28.571,5.882,-1.216,0.0,0.0,25.0,27.273,31.25,1
24,8.576,47.794,0.0,-109.524,-35.661,-7.042,0.0,0.0,-11.755,3.135,0.0,16.677,58.261,4.0,-13.333,0.733,-20.0,0.0,40.0,14.286,47.059,0
25,20.709,-122.58,0.0,43.333,28.099,23.457,0.0,0.0,14.825,0.01,0.0,-11.101,-311.425,28.0,55.0,0.22,20.0,0.0,-80.0,18.182,88.889,1
26,41.442,29.206,0.0,-141.27,-28.62,22.582,0.0,0.0,26.933,28.899,0.0,11.775,76.14,27.879,-94.286,0.04,-20.0,0.0,15.0,24.445,29.167,1
27,-25.525,-120.588,0.0,63.889,18.388,-6.435,0.0,0.0,-17.381,-24.99,0.0,0.01,400.013,-16.667,-11.765,0.04,0.0,0.0,-100.0,-28.572,36.842,0
28,-44.285,-235.82,-299.99,79.365,18.101,-14.347,0.0,0.0,-27.99,-33.323,0.0,0.01,314.288,-133.333,16.667,-0.207,-16.666,-94.595,-200.0,-150.001,46.667,1
29,-7.314,-49.091,0.0,37.5,16.151,3.117,0.0,0.0,27.788,25.01,0.0,33.343,-238.57,-100.0,25.0,0.438,-31.25,0.0,-181.25,-96.154,109.091,0
30,-12.61,-113.114,0.0,58.333,26.99,2.244,0.0,0.0,-4.157,-47.049,0.0,0.01,-20.0,60.0,-11.111,-0.524,0.0,0.0,-100.0,33.334,20.0,1
31,-39.995,-16.384,0.0,38.636,-1.833,-20.928,0.0,0.0,-111.101,-114.276,0.0,-45.445,-6.25,19.792,18.75,0.6,37.778,0.0,31.25,14.063,53.846,1
32,32.427,81.98,0.0,-721.429,-81.544,-4.46,0.0,0.0,5.892,31.439,0.0,0.01,-12.5,7.143,-64.286,-0.371,-119.996,0.0,-100.0,-6.25,56.522,0
33,-9.269,63.775,0.01,-152.632,-53.307,-21.297,0.0,-83.333,-75.748,-56.24,0.0,-41.166,-128.24,-112.5,-50.521,0.404,-39.999,15.152,-6.25,-92.262,44.118,1
